cn,latin,aliases,confidence,source
伪垫刃属,Nothotylenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
茎属,Ditylenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
刺属,Belonolaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
那格尔属,Nagelus,,seed-verified,user table 2026-09 (verified against Nemaplex)
轮属,Criconemoides,Criconrmoides,seed-verified,user table 2026-09 (verified against Nemaplex)
半轮属,Hemicriconemoides,,seed-verified,user table 2026-09 (verified against Nemaplex)
鞘属,Hemicycliophora,,seed-verified,user table 2026-09 (verified against Nemaplex)
环属,Criconema,,seed-verified,user table 2026-09 (verified against Nemaplex)
短体属,Pratylenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
穿孔属,Radopholus,,seed-verified,user table 2026-09 (verified against Nemaplex)
潜根属,Hirschmanniella,,seed-verified,user table 2026-09 (verified against Nemaplex)
盘旋属,Rotylenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
螺旋属,Helicotylenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
拟盘旋属,Pararotylenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
垫刃属,Tylenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
剑尾垫刃属,Malenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
丝尾垫刃属,Filenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
具脊垫刃属,Coslenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
头垫刃属,Cephalenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
细纹垫刃属,Lelenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
叉针属,Boleodorus,,seed-verified,user table 2026-09 (verified against Nemaplex)
裸矛属,Psilenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
新平滑垫刃属,Neopsilenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
矮化属,Tylenchorhynchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
克拉克属,Clarkus,,seed-verified,user table 2026-09 (verified against Nemaplex)
滑刃属,Aphelenchoides,,seed-verified,user table 2026-09 (verified against Nemaplex)
真滑刃属,Aphelenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
咽针属,Laimydorus,,seed-verified,user table 2026-09 (verified against Nemaplex)
扭沟属,Plectonchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
畸头属,Teratocephalus,,seed-verified,user table 2026-09 (verified against Nemaplex)
浅腔属,Panagrellus,,seed-verified,user table 2026-09 (verified against Nemaplex)
拟鳗线属,Anguilluloides,,seed-verified,user table 2026-09 (verified against Nemaplex)
哈利头叶属,Halicephalobus,,seed-verified,user table 2026-09 (verified against Nemaplex)
三唇属,Trilabiatus,,seed-unresolved,user table 2026-09 (verified against Nemaplex)
头叶属,Cephalobus,,seed-verified,user table 2026-09 (verified against Nemaplex)
真头叶属,Eucephalobus,,seed-verified,user table 2026-09 (verified against Nemaplex)
拟丽突属,Acrobeloides,,seed-verified,user table 2026-09 (verified against Nemaplex)
板唇属,Chiloplacus,,seed-verified,user table 2026-09 (verified against Nemaplex)
丽突属,Acrobeles,,seed-verified,user table 2026-09 (verified against Nemaplex)
鹿角唇属,Cervidellus,,seed-verified,user table 2026-09 (verified against Nemaplex)
齿杆属,Odontorhabditis,,seed-unresolved,user table 2026-09 (verified against Nemaplex)
小杆属,Rhabditis,,seed-verified,user table 2026-09 (verified against Nemaplex)
原杆属,Protorhabditis,,seed-verified,user table 2026-09 (verified against Nemaplex)
中杆属,Mesorhabditis,,seed-verified,user table 2026-09 (verified against Nemaplex)
广杆属,Caenorhabditis,,seed-verified,user table 2026-09 (verified against Nemaplex)
异咽属,Poikilolaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
三等齿属,Pelodera,,seed-verified,user table 2026-09 (verified against Nemaplex)
伪双胃属,Pseudodiplogasteroides,,seed-verified,user table 2026-09 (verified against Nemaplex)
中轮属,Criconemoides,,seed-verified,user table 2026-09 (verified against Nemaplex)
单齿属,Mononchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
锯齿属,Prionchulus,,seed-verified,user table 2026-09 (verified against Nemaplex)
伪杆咽属,Rhabditolaimus,Rhabdontolaimus,seed-verified,user table 2026-09 (verified against Nemaplex)
单宫属,Monhystera,,seed-verified,user table 2026-09 (verified against Nemaplex)
小单宫属,Monhystrella,,seed-verified,user table 2026-09 (verified against Nemaplex)
涎线属,Sinanema,,seed-verified,user table 2026-09 (verified against Nemaplex)
真单宫属,Eumonhystera,,seed-verified,user table 2026-09 (verified against Nemaplex)
野外垫刃属,Aglenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
垫咽属,Tylencholaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
狄咽属,Discolaimium,,seed-verified,user table 2026-09 (verified against Nemaplex)
大矛属,Enchodelus,Enchodelu,seed-verified,user table 2026-09 (verified against Nemaplex)
孔咽属,Aporcelaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
短矛属,Doryllium,,seed-verified,user table 2026-09 (verified against Nemaplex)
瘤咽属,Tylencholaimellus,,seed-verified,user table 2026-09 (verified against Nemaplex)
无咽属,Alaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
原细齿属,Proleptonchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
毛刺属,Trichodorus,,seed-verified,user table 2026-09 (verified against Nemaplex)
中矛线属,Mesodorylaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
前矛线属,Prodorylaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
表矛线属,Epidorylaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
小矛线属,Microdorylaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
卡勃属,Cobbonchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
穿咽属,Nygolaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
类矛线属,Amphidorylaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
膜皮属,Diphtherophora,,seed-verified,user table 2026-09 (verified against Nemaplex)
长针属,Longidorus,,seed-verified,user table 2026-09 (verified against Nemaplex)
剑属,Xiphinema,,seed-verified,user table 2026-09 (verified against Nemaplex)
矛线属,Dorylaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
拱唇属,Labronema,,seed-verified,user table 2026-09 (verified against Nemaplex)
真矛线属,Eudorylaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
类管咽属,Aulolaimoides,,seed-verified,user table 2026-09 (verified against Nemaplex)
